row_id,row_name,sector,edge_id,supplier,customer_as_stated,site_as_stated,edge_kind,firmness,speaker,source_type,date,date_precision,quantity,match_basis,sentence,source_url,source_sha256,captured_at,archived,verdict,note
broceni-ccs,Broceni CCS,cement,e0247,Capsol Technologies ASA,SCHWENK Latvija,Brocēni,equipment_order,contract,supplier,supplier_press,2025-09-08,day,,site+company,"End of May, the first CO₂ was successfully captured at the Brocēni cement plant using a CapsolGo® demonstration unit based on the proven Hot Potassium Carbonate (HPC) process.",https://www.capsoltechnologies.com/Latvia-prime-minister-visits-schwenk-cement-plant-to-see-carbon-capture-in-action,d5bb1a9ce426f650bef41aa96ac625cb228bc9392b636ccff340aa07facbb245,,,,
celsio-ccs-terminal,Celsio CCS terminal,ccs,e0156,SLB Capturi,Hafslund Celsio AS,Klemetsrud Oslo,equipment_order,contract,supplier,supplier_press,2025-01-27,day,350000 tonnes CO2 per year,site only,"OSLO, Norway, January 27, 2025 — SLB Capturi, in collaboration with Aker Solutions, has been awarded an engineering, procurement, construction, installation and commissioning (EPCIC) contract from Hafslund Celsio AS to deliver a carbon capture solution at its waste-to-energy facility in Klemetsrud, Oslo.",https://capturi.slb.com/resources/news/2025/slb-capturi-and-aker-solutions-win-contract-to-deliver-carbon-capture-solution-for-hafslund-celsio,,,,,
co2llect-rudersdorf,CO2LLECT,cement,e0256,Linde plc,CEMEX Deutschland AG (CO2LLECT),Rüdersdorf,framework_agreement,framework,owner,owner_press,2026-09-20,not_after,1.3e+06 tonnes CO2 per year,explicit,"In partnership with Linde , CO₂LLECT captures and liquefies 1.3 million tons of CO₂ per year .",https://www.co2llect.de/en/project/,6780956311dd81a2ff58f3346d9bbd4fab6ae64e3bf85b024c82c9f2750d6dc4,2026-09-20,false,,
co2ntessa-nasice,CO2NTESSA,cement,e0258,thyssenkrupp Polysius GmbH,NEXE Group (Našice cement),Našice,technology_licence,intent,owner,owner_press,2023-03-20,day,,explicit,Existing plant will be modified based on the Polysius PureOxyfuel technology developed by thyssenkrupp.,https://www.nexe.hr/en/co2ntessa/,60fe1af0acad43e3a02a817fe53e63ccf39a4b50fb655ec4ea13e89ad9a9ff37,,,,
cyclonecc-rudersdorf,CycloneCC Rudersdorf,cement,e0242,Carbon Clean Solutions Limited,CEMEX Deutschland AG,Rüdersdorf,equipment_order,intent,supplier,supplier_press,2021-11-01,day,100 tonnes CO2 per day,explicit,"CEMEX has appointed Carbon Clean to work on a FEED study for a ground-breaking carbon capture project at its Rüdersdorf plant in Germany, as part of its Carbon Neutral Alliance at the site.",https://www.carbonclean.com/en/press-releases/cemex-carbon-capture-project,5c2ad8ffaa3189f71e8b9b5ba286f0f8538ea626788b583a10cb2c27020f4981,,,,
cyclonecc-rudersdorf,CycloneCC Rudersdorf,cement,e0243,Carbon Clean Solutions Limited,CEMEX Deutschland AG,Rüdersdorf,equipment_order,intent,supplier,supplier_press,2022-07-19,day,100 tonnes CO2 per day,explicit,"Carbon Clean, a global leader in cost-effective carbon capture solutions, announced today that it has awarded a Front End Engineering Design (FEED) contract to global engineering experts, KBR, for a groundbreaking carbon capture project at CEMEX’s Rüdersdorf plant in Germany.",https://www.carbonclean.com/en/press-releases/kbr-carbonclean,ab821408728652db98b0c9da668795fdeb744169cab7380c05e1429c31e78d1e,,,,
dream-rezzato-mazzano,DREAM,cement,e0257,Ravenna CCS (Eni / Snam),"Heidelberg Materials (DREAM, Rezzato Mazzano)",Rezzato Mazzano,co2_storage,framework,owner,owner_press,2025-11-03,day,,explicit,"As part of this initiative, CO₂ will be captured from cement production and transported to the Ravenna CCS storage hub beneath the Adriatic Sea.",https://www.heidelbergmaterials.com/en/pr-2025-11-03,7a575b7bb5b4b406871d25b72d6e436e2f1bcbf58d53ca95ca78225c3b0a6703,,,,
ecco2-lh-carboneras,ECCO2-LH,cement,e0244,Carbon Clean Solutions Limited,LafargeHolcim (with ECCO2 and Sistemas de Calor),Carboneras Almeria,framework_agreement,framework,supplier,supplier_press,2020-10-29,day,,site+company,announced today that it has signed an agreement in Spain with LafargeHolcim - the world’s global leader in building solutions - ECCO2 and Sistemas de Calor to develop a large-scale carbon capture and utilisation plant.,https://www.carbonclean.com/en/press-releases/lafargeholcim-and-carbon-clean-to-develop-large-scale-ccus-plant,3205495a6f890ffa5ff232ac760dc5b9be0e30e29f996cb51d127cd44c274b00,,,,
ewe-emden-electrolysis,"Clean Hydrogen Coastline — Electrolysis East Frisia, Emden",clean,e0084,Siemens Energy AG,EWE,Emden Clean Hydrogen Coastline,equipment_order,contract,supplier,supplier_press,2024-07-25,day,280 MW,site only,Siemens Energy has been awarded a contract to supply a 280-megawatt electrolysis system by German utility EWE.,https://www.siemens-energy.com/global/en/home/press-releases/siemens-energy-wins-contract-for-large-scale-hydrogen-project-fr.html,,,,,
galp-sines-electrolyser,Sines 100 MW electrolyser,clean,e0121,Plug Power Inc.,Galp,Sines refinery,equipment_order,contract,supplier,supplier_press,2025-10-01,day,100 MW,site+company,"Major Delivery: Delivered the first 10 MW GenEco PEM electrolyzer to Galp Energia’s Sines project in Portugal, the first phase of a planned 100 MW installation.",https://www.ir.plugpower.com/feed/PressRelease.svc/GetPressReleaseList?LanguageId=1&bodyType=1&pressReleaseDateFilter=3&categoryId=00000000-0000-0000-0000-000000000000&pageSize=200&pageNumber=0&year=2025&excludeSelection=1,5419242d491acaf0da37d77308bbcd183636919be496e1e4703098f08f65d01c,,,,
galp-sines-electrolyser,Sines 100 MW electrolyser,clean,e0126,Plug Power Inc.,Galp,Sines refinery,equipment_order,contract,supplier,supplier_press,2026-01-23,day,100 MW,site+company,"All ten 10-megawatt arrays were delivered and installed, and commissioning is underway.",https://www.ir.plugpower.com/feed/PressRelease.svc/GetPressReleaseList?LanguageId=1&bodyType=1&pressReleaseDateFilter=3&categoryId=00000000-0000-0000-0000-000000000000&pageSize=200&pageNumber=0&year=2026&excludeSelection=1,3c5a8ed78ce511892fe0ae500aa8c35e60cf3d4c29fdd735ffc9499a521646cd,,,,
go4zero-obourg,GO4ZERO,cement,e0189,Air Liquide S.A.,Holcim,Obourg,equipment_order,contract,supplier,supplier_press,2026-02-27,day,,site+company,Air Liquide and Holcim reach a new stage in their collaboration with the signing of an agreement to develop a state-of-the-art carbon capture solution for Holcim’s near-zero cement plant at Obourg in Belgium.,https://www.airliquide.com/group/press-releases-news/2026-02-27/air-liquide-and-holcim-sign-agreement-decarbonize-cement-production-carbon-capture-project-belgium,,,,,
greentec-donawitz,greentec steel Donawitz,steel,e0204,Primetals Technologies,voestalpine,Donawitz,equipment_order,contract,supplier,supplier_press,2021-06-24,day,,site+company,"In April, the Hydrogen-based fine-ore reduction (HYFOR) pilot plant developed by Primetals Technologies was commissioned at the voestalpine site in Donawitz, Austria.",https://www.primetals.com/en/news/hyfor-pilot-plant-under-operation-the-next-step-for-carbon-free-hydrogen-based-direct-reduction-is-done/,,,,,
greentec-linz,greentec steel Linz,steel,e0209,Primetals Technologies,voestalpine,Linz,equipment_order,contract,supplier,supplier_press,2024-01-12,day,,site+company,"voestalpine has placed an order with Primetals Technologies for a 180-ton EAF Ultimate to be implemented at the Austrian steel producer’s site in Linz, Austria.",https://www.primetals.com/en/news/primetals-technologies-chosen-as-supplier-of-electric-arc-furnace-based-steelmaking-plant-in-austria/,,,,,
greentec-linz,greentec steel Linz,steel,e0211,Primetals Technologies,"voestalpine (Hy4Smelt, with Rio Tinto and Mitsubishi Corporation)",Linz,equipment_order,contract,supplier,supplier_press,2025-09-25,day,3 tonnes per hour,site+company,"Seeing construction underway of the globally unique Hy4Smelt demonstration plant once again confirms our technological and innovation leadership in green steel production."" Herbert Eibensteiner CEO of voestalpine AG Hydrogen-Based Direct Reduction and Smelting HYFOR is the world’s first direct reduction technology for iron ore fines that eliminates the need for agglomeration of the iron ore fines.",https://www.primetals.com/en/news/construction-begins-on-hydrogen-based-ironmaking-plant-in-linz-austria/,,,,,
hybrit-gallivare,HYBRIT Gallivare sponge,steel,e0215,Tenova S.p.A.,LKAB,Gällivare,framework_agreement,framework,supplier,supplier_press,2024-02-12,day,1.35e+06 tonnes DRI per year,site only,edge_kind framework_agreement. Ruled en bloc on 11 September 2026: a framework agreement is `framework` by its kind and no source was re-read for it — DECISION D-14.,https://tenova.com/newsroom/press-releases/lkab-selects-energironr-its-demonstration-plant-northern-sweden,f4f863e36be8e8bd2d7841d581cc445de9c323b93431c35ea32dce706472a0a1,,,,
ifestos-kamari,IFESTOS,cement,e0264,thyssenkrupp Polysius GmbH,TITAN Group (TITAN Cement),Kamari,framework_agreement,framework,supplier,supplier_press,2024-10-09,day,1.9e+06 tonnes CO2 per year,site+company,thyssenkrupp and TITAN Group signed in the Greek capital Athens a Front-End Engineering Design (FEED) contract for the Carbon Capture Project IFESTOS.,https://web.archive.org/web/20241107232757id_/https://www.thyssenkrupp-polysius.com/en/media/press-detail-page/thyssenkrupp-wins-engineering-contract-for-one-of-the-largest-carbon-capture-projects-in-europe-286913,dd8d0394dabd2c77a8b0a9f5e14c231662992bbf6c13c031bd0d7b8d52752ac7,2024-11-07,true,,
leilac2-hannover,LEILAC 2,cement,e0261,Leilac Group Ltd (Calix Limited),"Heidelberg Materials (Leilac-2, Hanover)",Hanover,technology_licence,framework,supplier,supplier_press,2022-10-28,day,100000 tonnes CO2 per year,explicit,"Leilac-2, also supported by EU funding and due to commence construction in 2023, will be located at Heidelberg Materials’ plant in Hanover, Germany.",https://web.archive.org/web/20221028011509id_/https://www.leilac.com/news/global-licence-agreement-heidelberg-materials/,4c07ae51c2891e98dcc1a9875f0d5add5c7bfc17f3fe360fd65e46f48db34a85,2022-10-28,true,,
leilac2-hannover,LEILAC 2,cement,e0262,Leilac Group Ltd (Calix Limited),Heidelberg Materials (Leilac-2),Hanover,technology_licence,intent,supplier,supplier_press,2024-01-29,day,,explicit,Leilac-2 will move to another Heidelberg Materials’ site following a decision to end clinker production at the Hanover cement plant.,https://web.archive.org/web/20240226210623id_/https://www.leilac.com/news/leilac-2-project-relocate-heidelberg-materials-end-clinker-production-hanover/,1ff24080770af0c3e5c3b24388bfe0d8b5bf96a1e0a4c8c69c446a405bd71828,2024-02-26,true,,
liberty-dunkerque-dri,Liberty Steel Dunkerque DRI plant,steel,e0259,SMS group GmbH,LIBERTY Steel Group (with SHS),Dunkerque,framework_agreement,intent,owner,owner_press,2021-02-22,day,,explicit,"LIBERTY Steel Group, part of Sanjeev Gupta’s sustainable industry leader GFG Alliance, has signed a Memorandum of Understanding (MoU) with Paul Wurth and SHS – Stahl-Holding-Saar (SHS) to assess the building and operating of an industrial-sized, hydrogen-based steel making plant at Dunkerque in France.",https://libertysteelgroup.com/liberty-develop-hydrogen-steel-making-plant,154ebe0772b6ed4e5c030957b80f0aa19e29021bce663c551f4302b9362b8bcc,,,,
northern-lights,Northern Lights,ccs,e0223,Northern Lights JV DA,CCB Energy Holding,Øygarden,framework_agreement,framework,supplier,supplier_press,2022-04-22,day,,site only,edge_kind framework_agreement. Ruled en bloc on 11 September 2026: a framework agreement is `framework` by its kind and no source was re-read for it — DECISION D-14.,https://norlights.com/news/ccb-energy-and-northern-lights-collaboration-on-co2-management-in-oygarden/,,,,,
padeswood-ccs,Padeswood CCS,cement,e0168,"Mitsubishi Heavy Industries, Ltd.",Hanson UK,Padeswood Flintshire,framework_agreement,framework,supplier,supplier_press,2022-12-15,day,800000 tonnes CO2 per year,site+company,edge_kind framework_agreement. Ruled en bloc on 11 September 2026: a framework agreement is `framework` by its kind and no source was re-read for it — DECISION D-14.,https://www.mhi.com/news/22121502.html,,,,,
padeswood-ccs,Padeswood CCS,cement,e0172,"Mitsubishi Heavy Industries, Ltd.",Heidelberg Materials UK,Padeswood Flintshire,framework_agreement,framework,supplier,supplier_press,2024-02-06,day,800000 tonnes CO2 per year,site+company,edge_kind framework_agreement. Ruled en bloc on 11 September 2026: a framework agreement is `framework` by its kind and no source was re-read for it — DECISION D-14.,https://www.mhi.com/news/24020601.html,,,,,
padeswood-ccs,Padeswood CCS,cement,e0175,"Mitsubishi Heavy Industries, Ltd.",Heidelberg Materials UK,Padeswood Flintshire,equipment_order,contract,supplier,supplier_press,2025-12-08,day,800000 tonnes CO2 per year,site+company,"Project will deploy MHI's carbon capture technology following Heidelberg Materials' final investment decision with UK Government -- 2025-12-08 SHARE ・ First full-scale CCS project in the UK cement sector, to capture around 800,000 tonnes of CO 2 per year ・ Follows front-end engineering design (FEED) completed by MHI and Worley ・ Part of the first wave of projects under the UK's CCUS cluster…",https://www.mhi.com/news/251208.html,,,,,
powerco-salzgitter,PowerCo Salzgitter,batsol,e0252,"Shenzhen Yinghe Technology Co., Ltd. (赢合科技)",Volkswagen AG (PowerCo),,equipment_order,contract,supplier,supplier_press,2026-09-20,not_after,,explicit,近日，赢合科技中标德国大众亿级订单，将为其20GWh超级工厂（后续将扩展为40GWh）提供生产锂电池的核心锂电设备及解决方案。,https://www.yhwins.com/index.php/newsinfo212.html,d60b7950c0e06000ee49836c31937acc4fea6274bbd07fe4e2c39e53ff808320,2026-09-20,false,,
rwe-get-h2-nukleus-lingen,GET H2 Nukleus — Lingen,clean,e0070,ITM Power plc,"RWE (GET H2 Nukleus, Lingen)",,equipment_order,contract,supplier,supplier_press,2026-08-04,day,200 MW,site only,"In total, ITM Power and Linde Engineering are delivering two 100 MW plants to RWE in Lingen. As part of the ongoing commissioning process, green hydrogen has been successfully produced and transported via approximately 120 km of hydrogen pipeline infrastructure for usage at Evonik’s chemical park in Marl.",https://itm-power.com/news/first-hydrogen-from-lingen-reaches-customer,,,,,
rwe-wilton-green-hydrogen,Wilton Green Hydrogen,clean,e0238,Northern Endurance Partnership / Endurance store,Net Zero Teesside Power,,co2_storage,contract,supplier,supplier_press,2024-12-10,day,,site only,"Net Zero Teesside Power (NZT Power) announces entry into execution phase, creating and supporting thousands of jobs. NZT Power aims to be the world’s first gas-fired power station with carbon capture and storage, providing flexible, low-carbon power to the UK grid. Start-up expected in 2028, supporting the UK Government’s Clean Power 2030 ambition. NZT Power today announced financial close and…",https://www.netzeroteesside.co.uk/news/greenlight-for-net-zero-teesside-power/,,,,,
salcos-salzgitter,SALCOS stage one,steel,e0085,Sunfire GmbH,Salzgitter Flachstahl GmbH,,equipment_order,contract,supplier,supplier_press,2020-08-25,day,0.72 MW,explicit,"August 25, 2020: GrInHy2.0: Sunfire delivers the world’s largest High-Temperatur Electrolyzer to Salzgitter Flachstahl:",https://sunfire.de/en/news/grinhy2-0-sunfire-delivers-the-worlds-largest-high-temperature-electrolyzer-to-salzgitter-flachstahl/,,,,,
salcos-salzgitter,SALCOS stage one,steel,e0212,Tenova S.p.A.,Salzgitter Flachstahl GmbH,Salzgitter,equipment_order,contract,supplier,supplier_press,2020-12-17,day,,explicit,"Castellanza, December 17, 2020 – Salzgitter Flachstahl GmbH , the largest steel subsidiary in the Salzgitter Group, has commissioned Tenova , a leading company specialized in innovative solutions for the metals and mining industries, for the construction of µDRAL , a demonstration plant for the production of Direct Reduced Iron (DRI) , using up to 100% hydrogen as reducing agent.",https://tenova.com/newsroom/press-releases/tenova-received-order-dri-plant-salzgitter-flachstahl-germany,facfc31a2ce15241f91f041070042622768210b3db182038c69dd34c55e0c0ba,,,,
salcos-salzgitter,SALCOS stage one,steel,e0213,Tenova S.p.A.,Salzgitter AG,Salzgitter SALCOS,framework_agreement,framework,supplier,supplier_press,2022-03-08,day,2.1e+06 tonnes DRI per year,explicit,edge_kind framework_agreement. Ruled en bloc on 11 September 2026: a framework agreement is `framework` by its kind and no source was re-read for it — DECISION D-14.,https://tenova.com/newsroom/press-releases/mou-salzgitter-and-tenova-salcosr,82fe28194d4b6bac233611ad5d10f7e5a6c1b1d0101f10aef0b3a7d7ca67c71c,,,,
salcos-salzgitter,SALCOS stage one,steel,e0206,Primetals Technologies,Salzgitter,Salzgitter SALCOS,equipment_order,contract,supplier,supplier_press,2022-08-25,day,1.9e+06 tonnes steel per year,explicit,"On August 23rd, German steel producer Salzgitter signed a contract with Primetals Technologies for an EAF Ultimate .",https://www.primetals.com/en/news/salzgitter-places-large-order-with-primetals-technologies-for-electric-arc-furnace-as-part-of-major-green-steel-transformation-program/,,,,,
salcos-salzgitter,SALCOS stage one,steel,e0214,Tenova S.p.A.,Salzgitter AG,Salzgitter Flachstahl SALCOS,equipment_order,contract,supplier,supplier_press,2023-05-24,day,2e+06 tonnes DRI per year,explicit,"Castellanza, Buttrio, May 24, 2023 - A consortium comprising Tenova , Danieli and DSD Steel Group has been contracted by Salzgitter AG to build a direct reduction plant (DRP) on the site of Salzgitter Flachstahl GmbH.",https://tenova.com/newsroom/press-releases/energironr-direct-reduction-plant-contracted-salzgitter-ag-represents,27349fe0e6bf2912d1e3b03f0cfa62f368292e96e80da95dcaa785504d7cf96c,,,,
shell-holland-hydrogen-1,Holland Hydrogen 1,clean,e0071,thyssenkrupp nucera AG & Co. KGaA,Shell (Holland Hydrogen I),Holland Hydrogen I Tweede Maasvlakte Rotterdam,equipment_order,contract,supplier,supplier_press,2022-01-13,day,200 MW,site only,"thyssenkrupp Uhde Chlorine Engineers has signed a supply contract with Shell for the large-scale project ‘Hydrogen Holland I’ in the port of Rotterdam, the Netherlands.",https://www.thyssenkrupp-nucera.com/newsroom/news-press-releases/thyssenkrupp-to-install-200-mw-green-hydrogen-facility-for-shell-in-port-of-rotterdam,,,,,
shell-refhyne-2-wesseling,REFHYNE 2 — Shell Energy and Chemicals Park Rheinland,clean,e0049,ITM Power plc,"Shell (REFHYNE II, Rheinland)",Shell Energy and Chemicals Park Rheinland Wesseling,equipment_order,contract,supplier,supplier_press,2024-08-13,day,100 MW,site only,"We are pleased to announce that we have signed a contract for the REFHYNE II project, following Shell's recent positive Final Investment Decision (FID).",https://itm-power.com/news/100mw-refhyne-ii-contract-signed,,,,,
stegra-boden,Stegra Boden,steel,e0190,"Midrex Technologies, Inc.",H2 Green Steel,Boden,equipment_order,contract,supplier,supplier_press,2022-10-11,day,2.1e+06 tonnes DRI per year,site only,"(Midrex) and Paul Wurth, an SMS Group company, announce a signed agreement with H2 Green Steel to supply the world’s first commercial 100 percent hydrogen direct reduced iron (DRI) plant.",https://www.midrex.com/press-releases/midrex-and-paul-wurth-selected-by-h2-green-steel/,,,,,
stegra-boden,Stegra Boden,steel,e0073,thyssenkrupp nucera AG & Co. KGaA,H2 Green Steel,Boden,equipment_order,contract,supplier,supplier_press,2023-05-22,day,700 MW,site only,"In realizing this ambitious climate-friendly project, H2 Green Steel has chosen an industrial partner with a proven history in chlor-alkali and various other projects under contract with a similar or even larger production capacity in alkaline water electrolysis.",https://www.thyssenkrupp-nucera.com/newsroom/news-press-releases/thyssenkrupp-nucera-supplies-the-electrolyzers-for-h2-green-steel-to-build-one-of-the-largest-integrated-green-steel-plants-in-europe,,,,,
tkh2steel-duisburg,tkH2Steel,steel,e0191,"Midrex Technologies, Inc.",thyssenkrupp Steel Europe AG,Duisburg,equipment_order,contract,supplier,supplier_press,2023-03-13,day,2.5e+06 tonnes DRI per year,site+company,thyssenkrupp Steel Selects MIDREX Flex™ for Immediate CO2 Emissions Reduction March 2023 Share,https://www.midrex.com/press-releases/thyssenkrupp-steel-selects-midrex-flex-for-immediate-co2-emissions-reduction/,,,,,
tkh2steel-duisburg,tkH2Steel,steel,e0194,"Midrex Technologies, Inc.",thyssenkrupp Steel Europe AG,Duisburg,equipment_order,contract,supplier,supplier_press,2026-09-11,not_after,2.5e+06 tonnes DRI per year,site+company,thyssenkrupp Steel Europe AG (TKS) has received approval from the Düsseldorf district government for early start of construction of the first direct reduction plant for hydrogen-based steel production. The approval notice is an important milestone in the approval process.,https://www.midrex.com/news/thyssenkrupp-steel-receives-construction-approval-for-hydrogen-ready-dri-smelter-project/,,2026-09-11,false,,
uniper-h2maasvlakte,H2Maasvlakte,clean,e0112,Plug Power Inc.,Uniper,H2Maasvlakte Maasvlakte Rotterdam,framework_agreement,framework,supplier,supplier_press,2023-03-07,day,100 MW,site+company,edge_kind framework_agreement. Ruled en bloc on 11 September 2026: a framework agreement is `framework` by its kind and no source was re-read for it — DECISION D-14.,https://www.ir.plugpower.com/feed/PressRelease.svc/GetPressReleaseList?LanguageId=1&bodyType=1&pressReleaseDateFilter=3&categoryId=00000000-0000-0000-0000-000000000000&pageSize=200&pageNumber=0&year=2023&excludeSelection=1,fea0c5bc2c4ce1d127fe792860a6e049283172eed60e4f6912dccf0020a94b09,,,,
